maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
150, 80, 3, 87.9518, 1.94728
250, 150, 3, 89.1566, 5.30416
350, 250, 3, 90.3614, 10.9038
500, 450, 3, 89.1566, 20.5411
150, 80, 4, 88.5542, 1.95119
250, 150, 4, 87.9518, 6.23948
350, 250, 4, 88.5542, 9.16794
500, 450, 4, 90.3614, 11.2005
