Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 90.3084, 9.69163, 0.405704
2, 88.9868, 11.0132, 0.603737
3, 84.141, 15.859, 0.408664
4, 93.3921, 6.60793, 1.1935
5, 92.0705, 7.92952, 1.38871
promedio, 89.7797, 10.2203, 0.800063
solucion: [ 0, 1, 0.0607092, 0.000211409, 0.0390404, 6.92779e-05, 0.184675, 0.195114, 8.82708e-06, 0.163196, 0, 0.0223493, 0.0169102, 0.33176, 0.27894, 6.79155e-13, 0, 1.53209e-06, 8.82787e-08, 0, 4.70935e-08, 0.417056, 9.4473e-06, 0.000449228, 0.306243, 0.154732, 0.244761, 1.93107e-05, 0.187849, 9.14855e-05, 1.1141e-05 ]
