Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 81.4978, 18.5022, 0
2, 74.8899, 25.1101, 0
3, 81.0573, 18.9427, 0
4, 80.6167, 19.3833, 0
5, 79.2952, 20.7048, 0
promedio, 79.4714, 20.5286, 0
