Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 94.2731, 5.72687, 4.7021
2, 93.8326, 6.1674, 4.11005
3, 92.511, 7.48899, 6.21225
4, 94.7137, 5.28634, 5.23623
5, 96.9163, 3.0837, 4.86425
promedio, 94.4493, 5.55066, 5.02498
solucion: [ 0, 0.546964, 0.219613, 0.093724, 0.139563, 0.327474, 0.0234501, 0.0322976, 0.190675, 0.251782, 0.322269, 0.115781, 0.0151395, 0, 0.130004, 0.134615, 0.437425, 0.190286, 0.0756516, 0.2441, 0.0103353, 0.471248, 0.301452, 0.584663, 0.212984, 0, 0.61353, 0.26033, 0.303093, 0.345042, 0.391069 ]
