Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 87.6652, 12.3348, 0.044485
2, 86.3436, 13.6564, 0.044211
3, 83.2599, 16.7401, 0.044527
4, 89.4273, 10.5727, 0.044642
5, 82.3789, 17.6211, 0.044419
promedio, 85.815, 14.185, 0.0444568
solucion: [ 0, 1, 3.94379e-06, 0.000211409, 0.0390404, 6.92779e-05, 8.17851e-06, 0.000377561, 8.82708e-06, 0, 0, 0.00278355, 0.030174, 0.591377, 0.27894, 6.79155e-13, 0, 1.53209e-06, 8.82787e-08, 0, 4.70935e-08, 0.417056, 9.4473e-06, 0.000449228, 0.110798, 0, 0.000274705, 1.93107e-05, 0, 9.14855e-05, 1.1141e-05 ]
