Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 77.533, 22.467, 1
2, 74.4493, 25.5507, 1
3, 77.9736, 22.0264, 1
4, 77.9736, 22.0264, 1
5, 73.5683, 26.4317, 1
promedio, 76.2996, 23.7004, 1
