Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 91.63, 8.37004, 4.65517
2, 90.7489, 9.2511, 5.32155
3, 89.4273, 10.5727, 4.14282
4, 86.3436, 13.6564, 1.91062
5, 93.8326, 6.1674, 5.1788
promedio, 90.3965, 9.60352, 4.24179
solucion: [ 0.0244734, 0.176709, 0.211922, 0.299384, 0.100435, 0.117626, 0.250509, 0.241305, 0.210711, 0.105542, 0.189608, 0.223819, 0.0421845, 0.0464234, 0.202825, 0.0513736, 0.0996964, 0.104349, 0.0385671, 0.0784961, 0.128024, -0.00251454, 0.180493, 0.0737792, 0.274028, 0.105059, 0.171548, 0.164603, 0.182627, 0.0339682, 0.258564 ]
