Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 89.6739, 10.3261, 117.134
2, 89.8913, 10.1087, 184.471
3, 87.8261, 12.1739, 76.36
4, 80.0543, 19.9457, 31.6223
5, 84.4022, 15.5978, 97.8148
promedio, 86.3696, 13.6304, 101.48
solucion: [ 0.407586, 0.472469, 0.594543, 0.397477, 0.463948, 0.390938, 0.550505, 0.242665, 0.319389, 0.739296, 0.407515, 0.633149, 0.406222, 0.744598, 0.458403, 0.632015, 0.431783, 0.660884, 0.422919, 0.5659, 0.72319, 0.450111, 0.864939, 0.388407, 0.568135, 0.726696, 0.137131, 0.668409, 0.43926, 0.620692, 0.587208, 0.27282, 0.528494, 0.358961, 0.312948, 0.573128, 0.501242, 0.446967, 0.282226, 0.45943, 0.469389, 0.512778, 0.722285, 0.648959, 0.870651, 0.380688, 0.236939, 0.398633, 0.441573, 0.659859, 0.468334, 0.51288, 0.50997, 0.53034, 0.511808, 0.517249, 0.224561 ]
