Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 90, 10, 111.036
2, 91.4674, 8.53261, 108.701
3, 89.5652, 10.4348, 111.614
4, 86.6304, 13.3696, 111.419
5, 87.337, 12.663, 109.538
promedio, 89, 11, 110.461
solucion: [ 0.10185, 0.119313, 0.153792, 0.138576, 0.224435, 0.272424, 0.252879, 0.279045, 0.280213, 0.215069, 0.238298, 0.142546, 0.213522, 0.250983, 0.192872, 0.253495, 0.194738, 0.228188, 0.192186, 0.178425, 0.199017, 0.231471, 0.220657, 0.167492, 0.218329, 0.175116, 0.233175, 0.281963, 0.121386, 0.139609, 0.283524, 0.171108, 0.133019, 0.167288, 0.113874, 0.0674891, 0.0973771, 0.24895, 0.158136, 0.169005, 0.200069, 0.288125, 0.194644, 0.114467, 0.264461, 0.0804978, 0.137566, 0.136712, 0.341355, 0.235343, 0.181302, 0.226025, 0.173308, 0.367415, 0.175605, 0.0673266, 0.0191878 ]
