Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 74.5652, 25.4348, 51
2, 74.7826, 25.2174, 49
3, 72.7174, 27.2826, 48
4, 79.2391, 20.7609, 42
promedio, 75.3261, 24.6739, 47.5
