LS random
maxIter, NumGen, %Aciertos, Tiempo
2, 3, 79.5109, 3.5
10, 5, 82.4728, 8.5
15, 10, 80.9511, 15.5
20, 15, 90.2174, 140.5

LS relief
maxIter, NumGen, %Aciertos, Tiempo
2, 3, 74.6467, 5
10, 5, 74.5109, 6.5
15, 10, 76.9837, 52
20, 15, 80.3261, 158.5

ILS random
maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
2, 3, 3, 79.538, 25.5
10, 5, 3, 91.5663, 10
15, 10, 3, 90.5707, 227.5
20, 15, 3, 92.2011, 1166
2, 3, 4, 84.3207, 53.5
10, 5, 4, 80.7065, 149
15, 10, 4, 90.4348, 423.5
20, 15, 4, 93.0163, 879


ILS relief
maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
2, 3, 3, 76.3043, 24.5
10, 5, 3, 76.2772, 72.5
15, 10, 3, 85.2989, 422
20, 15, 3, 88.9946, 806.5
2, 3, 4, 75.2446, 36
10, 5, 4, 81.4674, 131
15, 10, 4, 87.0652, 543.5
20, 15, 4, 87.7717, 1126

SA random
maxIter, NumGen, temp, estable, %Aciertos, Tiempo
2, 2, 100, 100, 82.3913, 11.4089
2, 4, 100, 100, 81.3043, 74.5867
2, 8, 100, 100,
2, 16, 100, 100,
10, 2, 100, 100, 80.5707, 52.0373
10, 4, 100, 100,
10, 8, 100, 100,
10, 16, 100, 100,
15, 2, 100, 100,
15, 4, 100, 100,
15, 8, 100, 100,
15, 16, 100, 100,
20, 2, 100, 100,
20, 4, 100, 100,
20, 8, 100, 100,
20, 16, 100, 100,
2, 2, 50, 100,
2, 4, 50, 100,
2, 8, 50, 100,
2, 16, 50, 100,
10, 2, 50, 100,
10, 4, 50, 100,
10, 8, 50, 100,
10, 16, 50, 100,
15, 2, 50, 100,
15, 4, 50, 100,
15, 8, 50, 100,
15, 16, 50, 100,
20, 2, 50, 100,
20, 4, 50, 100,
20, 8, 50, 100,
20, 16, 50, 100,

SA relief
maxIter, NumGen, temp, estable, %Aciertos, Tiempo
2, 2, 100, 100, 76.7935, 19.0017
2, 4, 100, 100, 78.0978, 44.2843
2, 8, 100, 100,
2, 16, 100, 100,
10, 2, 100, 100, 79.0489, 47.2527
10, 4, 100, 100,
10, 8, 100, 100,
10, 16, 100, 100,
10, 16, 100, 100,
15, 2, 100, 100,
15, 4, 100, 100,
15, 8, 100, 100,
15, 16, 100, 100,
20, 2, 100, 100,
20, 4, 100, 100,
20, 8, 100, 100,
20, 16, 100, 100,
2, 2, 50, 100,
2, 4, 50, 100,
2, 8, 50, 100,
2, 16, 50, 100,
10, 2, 50, 100,
10, 4, 50, 100,
10, 8, 50, 100,
10, 16, 50, 100,
15, 2, 50, 100,
15, 4, 50, 100,
15, 8, 50, 100,
15, 16, 50, 100,
20, 2, 50, 100,
20, 4, 50, 100,
20, 8, 50, 100,
20, 16, 50, 100,

Scatter
maxIter, popSize, maxIterWC, %Aciertos, Tiempo

DE
maxIter, popSize, CR, F, %Aciertos, Tiempo
10, 5, 0.5, 0.5, 86.7935, 18.5
10, 10, 0.5, 0.5, 86.712, 35.5
10, 15, 0.5, 0.5, 87.7717, 54
10, 20, 0.5, 0.5, 88.3967, 71
10, 5, 0.7, 0.5, 86.6576, 19.5
10, 10, 0.7, 0.5, 87.7446, 42
10, 15, 0.7, 0.5, 88.7772, 54.5
10, 20, 0.7, 0.5, 88.6685, 73
10, 5, 0.3, 0.5, 86.8478, 19.5
10, 10, 0.3, 0.5, 87.5272, 38.5
10, 15, 0.3, 0.5, 87.6087, 55
10, 20, 0.3, 0.5, 87.962, 73.5
10, 100, 0.3, 0.5, 88.8859, 349.5
10, 100, 0.5, 0.5, 89.4022, 353.5
10, 100, 0.7, 0.5, 89.212, 363
