Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 74.3478, 25.6522, 4.93467
2, 74.0761, 25.9239, 4.73183
3, 72.2826, 27.7174, 4.99992
4, 79.2391, 20.7609, 4.89711
5, 71.7391, 28.2609, 4.70345
promedio, 74.337, 25.663, 4.8534
solucion: [ 4.13877e-06, 0.00010096, 1.24647e-05, 0, 1.39162e-05, 3.33723e-06, 1.80964e-05, 5.49158e-06, 2.93378e-06, 1.76801e-05, 5.42593e-06, 2.9914e-05, 2.81855e-06, 7.56121e-06, 3.34443e-06, 3.44513e-05, 9.4542e-06, 1.18253e-05, 0.000143545, 3.93826e-06, 8.24468e-05, 2.87755e-05, 5.6649e-06, 1.63749e-06, 0.000216596, 4.88396e-05, 0.00105232, 2.35989e-05, 2.37513e-05, 1.27008e-05, 1.00673e-05, 9.05514e-06, 1.49206e-05, 9.03481e-06, 1.66901e-05, 1.15566e-05, 1.03026e-05, 6.38976e-07, 3.86556e-06, 1.14972e-05, 6.76586e-06, 3.78704e-05, 1.99491e-06, 8.39613e-06, 7.29144e-05, 4.45451e-05, 7.36158e-08, 1.01976e-06, 4.55664e-06, 2.24764e-06, 9.18809e-08, 2.50817e-05, 2.98353e-06, 1.55553e-06, 0.0479828, 0.451148, 0.8 ]
