Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 74.2935, 25.7065, 6
2, 76.413, 23.587, 6
3, 72.4457, 27.5543, 6
4, 79.2935, 20.7065, 5
5, 71.9022, 28.0978, 6
promedio, 74.8696, 25.1304, 5.8
