Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 92.2826, 7.71739, 293.697
2, 82.0109, 17.9891, 163.863
3, 90.8696, 9.13043, 318.516
4, 89.9457, 10.0543, 191.347
5, 91.1957, 8.80435, 200.73
promedio, 89.2609, 10.7391, 233.631
solucion: [ 0.223313, 0.190807, 0.223833, 0.476055, 0.275717, 0.157314, 0.656466, 0.0576942, 0.0775819, 0.273652, 0.342001, 0.240895, 0.100718, 0.274156, 0.515264, 0.587221, 0.531077, 0.268022, 0.317454, 0.373723, 0.227293, 0.633702, 0.242516, 0.352496, 0.792042, 0.374762, 0.612465, 0.263651, 0.287292, 0.275608, 0.207936, 0.314254, 0.571009, 0.227064, 0.25576, 0.509934, 0.713744, 0.456402, 0.355989, 0.634627, 0.248153, 0.657311, 0.45601, 0.469116, 0.298645, 0.471944, 0.214146, 0.192412, 0.679944, 0.366706, 0.553315, 0.657756, 0.411943, 0.591653, 0.476092, 0.36133, 0.0760565 ]
