Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 75.5, 24.5, 15.8365
2, 76.05, 23.95, 15.8633
3, 74.65, 25.35, 15.841
4, 73.4, 26.6, 16.019
5, 77.45, 22.55, 15.6708
promedio, 75.41, 24.59, 15.8461
solucion: [ 0.420607, 0.215044, 0.296152, 0.502525, 0.438992, 0.349485, 0.335025, 0.512926, 0.495197, 0.406614, 0.507521, 0.450615, 0.591816, 0.329812, 0.273057, 0.549241, 0.329517, 0.36723, 0.481211, 0.4143, 0.369126, 0.288359, 0.254713, 0.573255, 0.203723, 0.281403, 0.242831, 0.184693, 0.453571, 0.373164, 0.299317, 0.315932, 0.460716, 0.38963, 0.389862, 0.348791, 0.518876, 0.261724, 0.526755, 0.405562 ]
