Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 76, 24, 49.9766
2, 74.15, 25.85, 37.7179
3, 76.1, 23.9, 25.6078
4, 73.55, 26.45, 19.8571
5, 72.65, 27.35, 32.003
promedio, 74.49, 25.51, 33.0325
solucion: [ 0.650259, 0.446594, 0.674203, 0.574359, 0.36287, 0.355137, 0.520465, 0.367971, 0.673201, 0.476499, 0.63572, 0.484967, 0.408043, 0.57378, 0.472785, 0.753062, 0.404663, 0.505431, 0.63758, 0.503452, 0.390015, 0.525068, 0.416703, 0.54785, 0.514929, 0.281992, 0.509126, 0.523258, 0.489427, 0.352019, 0.401472, 0.340914, 0.425293, 0.523333, 0.33944, 0.747026, 0.689564, 0.487279, 0.652016, 0.397854 ]
