Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 71.25, 28.75, 28.6148
2, 73.2, 26.8, 28.5639
3, 75.3, 24.7, 39.962
4, 73.75, 26.25, 24.1764
5, 72.9, 27.1, 20.3085
promedio, 73.28, 26.72, 28.3251
solucion: [ 0.360342, 0.62139, 0.218418, 0.777681, 0.472546, 0.558126, 0.542613, 0.520052, 0.662785, 0.562471, 0.475448, 0.471833, 0.650945, 0.333301, 0.477666, 0.518285, 0.407551, 0.522124, 0.498371, 0.491788, 0.333887, 0.486775, 0.36235, 0.519209, 0.669466, 0.334389, 0.562241, 0.640888, 0.616133, 0.324275, 0.691649, 0.383645, 0.552916, 0.511928, 0.689143, 0.425462, 0.450575, 0.631756, 0.545514, 0.53284 ]
