Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 79.05, 20.95, 4.59823
2, 79.3, 20.7, 4.6118
3, 80.05, 19.95, 4.61729
4, 78.65, 21.35, 4.53
5, 80, 20, 4.49625
promedio, 79.41, 20.59, 4.57072
solucion: [ 0.106161, 0.1492, 0.209311, 0.257373, 0.48126, 0.549906, 0.462889, 0.480461, 0.622595, 0.714444, 1, 0.666551, 0.50686, 0.408287, 0.515604, 0.580794, 0.599108, 0.356494, 0.291996, 0.104287, 0.0647873, 0.061811, 0.0447683, 0.0789319, 0.0581195, 0.112504, 0.0167639, 0.0549439, 0.077373, 0.197167, 0.070913, 0.0782626, 0.0304435, 0.145493, 0.0451899, 0.0975667, 0.130609, 0.116908, 0.15378, 0.0884618 ]
