Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 75.3, 24.7, 0.619373
2, 75.3, 24.7, 0.60366
3, 76.95, 23.05, 0.618277
4, 76.2, 23.8, 0.611247
5, 77.15, 22.85, 0.631247
promedio, 76.18, 23.82, 0.616761
solucion: [ 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1 ]
