Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 80.9, 19.1, 70.1857
2, 80.35, 19.65, 31.8059
3, 80.75, 19.25, 13.4468
4, 79.85, 20.15, 19.5674
5, 80.75, 19.25, 32.3149
promedio, 80.52, 19.48, 33.4641
solucion: [ 0.162186, 0.140692, 0.261842, 0.25367, 0.386484, 0.536301, 0.456282, 0.473195, 0.612946, 0.70427, 0.980242, 0.655215, 0.478365, 0.401976, 0.63155, 0.572632, 0.598533, 0.277159, 0.288175, 0.276759, 0.0647873, 0.0519479, 0.0447683, 0.0789319, 0.0581195, 0.112504, 0.0167639, 0.0549439, 0.0535765, 0.197167, 0.181144, 0.058328, 0.0304435, 0.145493, 0.0451899, 0.0430382, 0.109593, 0.116908, 0.15378, 0.0884618 ]
