Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 80.45, 19.55, 9.97953
2, 79.3, 20.7, 3.69251
3, 80.4, 19.6, 37.078
4, 78.8, 21.2, 16.0471
5, 80, 20, 3.71935
promedio, 79.79, 20.21, 14.1033
solucion: [ 0.106161, 0.1492, 0.205598, 0.257373, 0.48126, 0.549906, 0.462889, 0.480461, 0.622595, 0.738704, 1, 0.666551, 0.50686, 0.408287, 0.515604, 0.541509, 0.490792, 0.356494, 0.279649, 0.104287, 0.210085, 0.061811, 0.0385224, 0.0789319, 0.0581195, 0.101673, 0.0167639, 0.0549439, 0.200607, 0.197167, 0.070913, 0.0782626, 0.0304435, 0.145493, 0.0451899, 0.0975667, 0.130609, 0.116908, 0.15378, 0.0884618 ]
