Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 74.7, 25.3, 8.58915
2, 71.4, 28.6, 6.08966
3, 71.55, 28.45, 6.10144
4, 73.1, 26.9, 6.22676
5, 74.8, 25.2, 8.39475
promedio, 73.11, 26.89, 7.08035
solucion: [ 0.628703, 0.547496, 0.619186, 0.505616, 0.270773, 0.39098, 0.300563, 0.421544, 0.523975, 0.52128, 0.552415, 0.703368, 0.434677, 0.521516, 0.56452, 0.412048, 0.405013, 0.46982, 0.68593, 0.725977, 0.420233, 0.370083, 0.634588, 0.471, 0.688437, 0.282358, 0.555576, 0.361479, 0.390619, 0.702671, 0.36141, 0.629521, 0.352442, 0.594134, 0.59635, 0.481861, 0.676237, 0.300855, 0.524739, 0.529814 ]
