maxIter, popSize, maxIterWC, %Aciertos, Tiempo
2, 5, 2, 79.2, 46.972
2, 5, 4, 79.075, 43.545
2, 5, 6, 79.35, 44.881
2, 5, 8, 78.425, 43.688
10, 5, 2, 79.85, 63.722
10, 5, 4, 80.6, 103.85
10, 5, 6, 79.675, 150.108
10, 5, 8, 80.7, 188.704
15, 5, 2, 79.55, 68.755
15, 5, 4, 79.475, 109.728
15, 5, 6, 81.025, 153.25
15, 5, 8, 80.475, 196.72
2, 10, 2, 79.45, 191.678
2, 10, 4, 79.325, 191.315
