maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
2, 3, 3, 79.9, 13.1505
10, 5, 3, 80.075, 30.7075
15, 10, 3, 80.875, 94.9805
20, 15, 3, 80.8, 102.454
2, 3, 4, 80.525, 13.2005
10, 5, 4, 80.425, 30.4605
15, 10, 4, 80.95, 92.4885
20, 15, 4, 80.65, 116.255
