Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 81.9277, 18.0723, 0.623256
2, 87.9518, 12.0482, 0.623969
3, 87.9518, 12.0482, 1.03882
4, 86.747, 13.253, 0.417011
5, 90.3614, 9.63855, 0.831244
promedio, 86.988, 13.012, 0.706859
solucion: [ 0.410075, 0.34978, 0.362141, 0.336385, 0.446725, 0.499293, 0.540706, 0.688947, 0.208242, 0.735629, 0.394433, 0.555885, 0.727707, 0.585465, 0.488428, 0.566624, 0.327901, 0.536515, 0.516861, 0.410017, 0.425309, 0.417925, 0.662562, 0.444808, 0.560513, 0.313474, 0.270471, 0.483006, 0.56732, 0.606472, 0.516877, 0.186752, 0.373724, 0.612467, 0.426934, 0.478785, 0.433249, 0.233112, 0.298499, 0.441491, 0.356226, 0.492932, 0.597376, 0.374703, 0.478397, 0.610282, 0.541327, 0.606298, 0.546796, 0.258188, 0.461431, 0.722168, 0.476113, 0.523993, 0.366976, 0.569969, 0.567438, 0.637447, 0.363563, 0.334758 ]
