Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 84.3373, 15.6627, 1.03625
2, 86.747, 13.253, 0.830281
3, 84.3373, 15.6627, 0.624586
4, 91.5663, 8.43373, 1.24647
5, 90.3614, 9.63855, 0.831118
promedio, 87.4699, 12.5301, 0.91374
solucion: [ 0.00235838, 0.00739191, 0.0155966, 0.0263915, 0.0207143, 0.0424829, 0.0114201, 0.118647, 0.471425, 0.542687, 0.474299, 0.429497, 0.292835, 0.246369, 0.15804, 0.127272, 0.189342, 0.206586, 0.155256, 0.368238, 0.400607, 0.27831, 0.586785, 0.367006, 0.26523, 0.460262, 0.257871, 0.419681, 0.455373, 0.445097, 0.425575, 0.432542, 0.377998, 0.405619, 0.487568, 0.738529, 0.790491, 0.346185, 0.470314, 0.278422, 0.674731, 0.671366, 0.384527, 0.437072, 0.646218, 0.460877, 0.20996, 0.238121, 0.0353045, 0.00101698, 0.00263845, 0.00252185, 0.00108766, 0.000686265, 0.000489027, 0.000184139, 0.000178555, 0.000644596, 2.81656e-05, 0.000355352 ]
