Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 78.3133, 21.6867, 0.009954
2, 78.3133, 21.6867, 0.009855
3, 81.9277, 18.0723, 0.009792
4, 77.1084, 22.8916, 0.009948
5, 83.1325, 16.8675, 0.009889
promedio, 79.759, 20.241, 0.0098876
solucion: [ 0.00291366, 0.00893645, 0.0176912, 0.0314239, 0.026077, 0.058847, 0.0177925, 0.154767, 0.482274, 0.594558, 0.620988, 0.730641, 0.389218, 0.207678, 0.212546, 0.154425, 0.321401, 0.257361, 0.207913, 0.571618, 0.504689, 0.375205, 0.750975, 0.462551, 0.334536, 0.622894, 0.352513, 0.381148, 0.395188, 0.594077, 0.496883, 0.36052, 0.426416, 0.456563, 0.384567, 0.857304, 0.830989, 0.3622, 0.324993, 0.289564, 0.580789, 0.628208, 0.384527, 0.437072, 0.646218, 0.460877, 0.20996, 0.129023, 0.0353045, 0.00101698, 0.00263845, 0.00252185, 0.00108766, 0.000686265, 0.000489027, 0.000184139, 0.000178555, 0.000644596, 2.81656e-05, 0.000355352 ]
