Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 89.1566, 10.8434, 3.54879
2, 87.9518, 12.0482, 3.58581
3, 89.1566, 10.8434, 3.55036
4, 93.9759, 6.0241, 3.6166
5, 95.1807, 4.81928, 3.52895
promedio, 91.0843, 8.91566, 3.5661
solucion: [ 0.657273, 0.450072, 0.53533, 0.666865, 0.473871, 0.399793, 0.347438, 0.524072, 0.703131, 0.395754, 0.629638, 0.713102, 0.631675, 0.504225, 0.725741, 0.434512, 0.416178, 0.334471, 0.250248, 0.42278, 0.429303, 0.622156, 0.553214, 0.387097, 0.276016, 0.35161, 0.360585, 0.565114, 0.374537, 0.528733, 0.554449, 0.47866, 0.407556, 0.668325, 0.63643, 0.486325, 0.401418, 0.236207, 0.319908, 0.64108, 0.41928, 0.470968, 0.649644, 0.549718, 0.532369, 0.648685, 0.681929, 0.55842, 0.489653, 0.457136, 0.502913, 0.402159, 0.391232, 0.438617, 0.48673, 0.327829, 0.518153, 0.6096, 0.556303, 0.482881 ]
