Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 90.3614, 9.63855, 5.31322
2, 95.1807, 4.81928, 5.35089
3, 92.7711, 7.22892, 6.02661
4, 95.1807, 4.81928, 5.10518
5, 97.5904, 2.40964, 5.24588
promedio, 94.2169, 5.78313, 5.40835
solucion: [ 0.132157, 0.185621, 0.107839, 0.139457, 0.134563, 0.0608746, 0.122686, 0.0545971, 0.335138, 0.0690662, 0.189322, 0.0323467, 0.0661053, 0.0804639, 0.204859, 0.0647631, 0.0108275, 0.15647, 0.017787, 0.176716, 0.0556524, 0.115212, 0.120601, 0, 0.0230854, 0.0877603, 0.216762, 0.0951448, 0.0519972, 0.125485, 0.265221, 0.150211, 0.150929, 0.110311, 0.0135428, 0.114502, 0.0699344, 0.161033, 0.0521833, 0.162499, 0.167121, 0.192576, 0.210484, 0.176461, 0.321602, 0.0858495, 0.109153, 0.336716, 0.301126, 0.182546, 0.204091, 0.107159, 0.331558, 0.331741, 0.281057, 0.283838, 0.0301749, 0.507652, 0.827546, 0.485684 ]
