Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 91.5663, 8.43373, 5.54387
2, 95.1807, 4.81928, 5.06552
3, 95.1807, 4.81928, 5.63179
4, 93.9759, 6.0241, 5.16609
5, 98.7952, 1.20482, 5.47462
promedio, 94.9398, 5.06024, 5.37638
solucion: [ 0.217047, 0.0976323, 0.229891, 0.176457, 0.291415, 0.0658355, 0.148437, 0.182063, 0.461993, 0.272286, 0.167408, 0.0846117, 0.115894, 0.0838818, 0.0739178, 0.000240242, 0.0610357, 0.200615, 0.00096631, 0.154721, 0.0289038, 0.171976, 0.347962, 0.00244164, 0.171978, 0.0243624, 0.13535, 0.106966, 0.0372418, 0.0567102, 0.02292, 0.110113, 0.246477, 0.199023, 0.0627233, 0.115614, 0.232255, 0.293205, 0.0289436, 0.305939, 0.11223, 0.130596, 0.226705, 0.102877, 0.0867424, 0.136531, 0.310158, 0.564463, 0.141216, 0.289452, 0.211236, 0.513894, 0.344785, 0.2, 0.390465, 0.297386, 0.195525, 0.637798, 0.444787, 0.542715 ]
