Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 96.6667, 3.33333, 0.007206
2, 100, 0, 0.010492
3, 98.3333, 1.66667, 0.003729
4, 100, 0, 0.014075
5, 98.3333, 1.66667, 0.007231
promedio, 98.6667, 1.33333, 0.0085466
solucion: [ 0.578127, 0.432077, 0.421856, 0.718341 ]
