Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 96.6667, 3.33333, 0.00718
2, 98.3333, 1.66667, 0.007069
3, 98.3333, 1.66667, 0.007158
4, 98.3333, 1.66667, 0.007195
5, 98.3333, 1.66667, 0.007166
promedio, 98, 2, 0.0071536
solucion: [ 0.253759, 0.302026, 0.715629, 0.463248 ]
