Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 95, 5, 0
2, 96.6667, 3.33333, 0
3, 96.6667, 3.33333, 0
4, 96.6667, 3.33333, 0
promedio, 96.25, 3.75, 0
