Particion, Aciertos(%) , Error(%), Tiempo(sg) 
1, 98.3333, 1.66667, 0.056204
2, 100, 0, 0.057864
3, 98.3333, 1.66667, 0.080948
4, 98.3333, 1.66667, 0.020825
5, 100, 0, 0.065885
promedio, 99, 1, 0.0563452
solucion: [ 0.171484, 0.210903, 0.54067, 0.852287 ]
